signal_ts_ms,exec_ts_ms,asset,buy_ex,sell_ex,size,buy_cost,sell_proceeds,pnl
1777593692900,1777593692900,ETH,binance,okx,0.8851790053243518,2000.0,2001.0002522760167,1.0002522760166812
1777594542900,1777594542900,ETH,binance,bybit,0.8834390515398343,2000.0,2001.3322357962788,1.3322357962788374
1777601306300,1777601306300,ETH,binance,bybit,0.8821920708576672,2000.0,2001.018963541966,1.018963541966059
1777601306400,1777601306400,ETH,binance,bybit,0.8821920708576672,2000.0,2001.4556169169152,1.4556169169152327
1777604890500,1777604890500,ETH,binance,okx,0.8817525714109363,2000.0,2001.0140154571225,1.0140154571224684
1777605437500,1777605437500,ETH,binance,bybit,0.8792832083285705,2000.0,2001.169446667077,1.1694466670769543
1777605587600,1777605587600,BTC,binance,okx,0.02595177822233174,2000.0,2001.1519994352893,1.1519994352893264
1777605587700,1777605587700,BTC,binance,okx,0.02595177822233174,2000.0,2001.959099738004,1.9590997380039425
1777605587700,1777605587700,ETH,binance,okx,0.8768699251153084,2000.0007656992511,2001.5538021734449,1.553036474193732
1777605587800,1777605587800,BTC,binance,okx,0.02594033722438392,2000.0000000000002,2001.4526588845656,1.4526588845653805
1777605587800,1777605587800,ETH,binance,bybit,0.8766738992263353,2000.0,2001.7708812764372,1.7708812764371942
1777605600000,1777605600000,ETH,binance,bybit,0.8742481465939292,2000.1484751478529,2001.3288571828227,1.1803820349698526
1777605600100,1777605600100,ETH,binance,bybit,0.8742481465939292,2000.1484751478529,2001.4599944048118,1.3115192569589453
1777605607600,1777605607600,ETH,binance,bybit,0.8725584723246266,2000.0,2001.2303074459776,1.2303074459775871
1777605763500,1777605763500,ETH,binance,okx,0.8725356321738789,2000.0,2001.230275241365,1.2302752413650069
1777605941600,1777605941600,BTC,okx,binance,0.025900495476478463,2000.0,2001.1673353311246,1.1673353311246046
1777608892300,1777608892300,BTC,bybit,binance,0.025938756003200843,2000.1447359016277,2001.6429608052426,1.4982249036149824
1777609692000,1777609692000,BTC,binance,bybit,0.025977963153636402,2000.2645340300028,2002.6515706990915,2.3870366690887295
1777609750000,1777609750000,BTC,binance,bybit,0.025992220528395848,2000.2775646040643,2001.3567939115821,1.079229307517835
1777609750100,1777609750100,BTC,binance,bybit,0.025992220528395848,2000.2775646040643,2001.3567939115821,1.079229307517835
1777609759400,1777609759400,BTC,okx,bybit,0.02598573642927397,2000.0,2001.0862037827437,1.0862037827437234
1777637278200,1777637278200,ETH,okx,binance,0.8748715032479604,2000.0,2001.1810765293847,1.1810765293846543
1777637545700,1777637545700,ETH,binance,bybit,0.8750743813224124,2000.0105354876266,2001.2951100843572,1.2845745967306357
1777637727700,1777637727700,ETH,binance,bybit,0.873576071004263,2000.0,2001.0308197637848,1.030819763784848
1777637786300,1777637786300,ETH,binance,bybit,0.8726003490401396,2000.0,2001.4048865619548,1.4048865619547541
1777637801600,1777637801600,ETH,binance,bybit,0.87292026746277,2000.0,2001.7545791376,1.7545791376001034
1777637867100,1777637867100,ETH,binance,okx,0.8715660298424209,2000.0,2001.4293682889418,1.4293682889417596
1777637885400,1777637885400,BTC,binance,bybit,0.02576634919947818,2000.0,2001.1383573076332,1.138357307633214
1777637974300,1777637974300,ETH,binance,okx,0.8714103340551516,2000.0248103100216,2001.8125334948347,1.7877231848131032
1777638075500,1777638075500,ETH,binance,bybit,0.8706516392193737,2000.0,2001.0534884834556,1.053488483455567
1777638100200,1777638100200,ETH,binance,okx,0.8704659604286175,2000.0,2001.070673131327,1.070673131327112
1777638119000,1777638119000,ETH,binance,bybit,0.8699245340466714,2000.0,2001.2091951023247,1.2091951023246565
1777638122000,1777638122000,ETH,binance,okx,0.8691873098652759,2000.0,2001.3211647109952,1.3211647109951627
1777638161400,1777638161400,ETH,binance,okx,0.8702424930706941,2000.0,2001.3749831390517,1.3749831390516647
1777638176800,1777638176800,ETH,binance,okx,0.8700380641653073,2000.0,2001.8618814573138,1.861881457313757
1777638237500,1777638237500,ETH,binance,okx,0.8695274118516586,1999.9999999999998,2001.3738533107255,1.3738533107257354
1777638306400,1777638306400,ETH,binance,okx,0.8685418485176162,2000.0,2001.9802754146199,1.9802754146198822
1777638506100,1777638506100,ETH,binance,bybit,0.8683419878084786,2000.0,2002.2750560080585,2.2750560080585274
1777638555100,1777638555100,ETH,okx,binance,0.8682779010250021,2000.0,2001.3631963046093,1.363196304609346
