signal_ts_ms,exec_ts_ms,asset,buy_ex,sell_ex,size,buy_cost,sell_proceeds,pnl,signal_edge_bps,signal_expected_pnl
1777601306400,1777601306500,ETH,binance,bybit,0.45725427,1037.390002,1037.3833272089082,-0.006674791091882071,5.276729040442074,1.0553458080884148
1777605587700,1777605587800,BTC,binance,okx,0.02593774319066148,2000.0000000000002,2001.0523883673152,1.0523883673149612,7.793639688236098,1.5587279376472196
1777605587700,1777605587800,ETH,binance,okx,0.8765862318364127,2000.0,2000.9761227599452,0.9761227599451558,5.8026815831002665,1.1605363166200533
1777605587800,1777605587900,BTC,binance,okx,0.025925795803827367,2000.0,1999.6199808664828,-0.3800191335171803,5.261941836576245,1.052388367315249
1777605587800,1777605587900,ETH,binance,bybit,0.8760908421827358,2000.0063265692008,1999.8540609375987,-0.15226563160217665,6.852735589455428,1.3705471178910855
1777605599900,1777605600000,ETH,binance,bybit,0.8741607217792698,2000.1484751478529,2000.9286114246747,0.7801362768218496,6.880134390983006,1.3760268781966012
1777605600100,1777605600200,ETH,binance,bybit,0.8737978616027929,2000.0,2000.0368752409086,0.036875240908557316,5.2986121026554756,1.059722420531095
1777608892300,1777608892400,BTC,bybit,binance,0.025936599423631128,2000.0,2000.0017377492798,0.0017377492797550076,6.213261147558491,1.2426522295116982
1777609692000,1777609692100,BTC,binance,bybit,0.02593498150196976,2000.0,1999.2756058260718,-0.7243941739282036,11.255302057335825,2.251060411467165
1777637786300,1777637786400,ETH,binance,bybit,0.8720375013626949,2000.0,1999.9226416101164,-0.07735838988355681,5.02312799345761,1.004625598691522
1777637801600,1777637801700,ETH,binance,bybit,0.8720260936300843,2000.0,1999.5128261108975,-0.48717388910245063,6.814831490598028,1.3629662981196056
1777637867100,1777637867200,ETH,binance,okx,0.8706896551724138,2000.1476580445835,2000.5228587413794,0.3752006967959005,5.145512147890496,1.0291024295780993
1777637974300,1777637974400,ETH,binance,okx,0.06879312,158.02783899999997,158.0357001182731,0.007861118273126522,7.060955031306104,1.4121910062612208
1777638176800,1777638176900,ETH,binance,okx,0.8693346316695502,2000.0,2000.043336326085,0.043336326084954635,7.307645498206838,1.4615290996413677
1777638306400,1777638306500,ETH,binance,okx,0.867622303594051,2000.0122581814899,1999.6607474878954,-0.3515106935944914,7.899496896699443,1.5798993793398886
1777638506100,1777638506200,ETH,binance,bybit,0.8675169182717336,2000.0043541839318,2000.1465010049455,0.1421468210137391,9.373105098038348,1.8746210196076696
1777638622100,1777638622200,ETH,binance,bybit,0.8667498829770637,2000.0,2000.0420182360747,0.042018236074682136,5.978000344768475,1.195600068953695
1777638979100,1777638979200,ETH,binance,okx,0.8663856408212424,2000.0,1999.418097209526,-0.5819027904740324,5.588731333436847,1.1177462666873694
1777641193400,1777641193500,BTC,binance,bybit,0.02551059133469072,2000.0,1999.815052779523,-0.18494722047694268,5.1691032047651575,1.0338206409530315
1777643599100,1777643599200,BTC,binance,bybit,0.016248375000000002,1277.5013652,1277.8556405311128,0.3542753311128308,5.473823085913043,1.0947646171826086
1777643599300,1777643599400,BTC,binance,bybit,0.025426573426573427,2000.0,2000.0983310030772,0.09833100307719178,5.559441711464608,1.1118883422929215
1777643607200,1777643607300,ETH,binance,okx,0.8628530500591115,2000.0,1999.4447219823446,-0.5552780176553824,5.078788524619515,1.015757704923903
1777650630300,1777650630400,ETH,okx,binance,0.23199999999999998,535.9271927192719,535.9477438656,0.020551146328102732,8.865515198606122,1.7731030397212244
1777650753500,1777650753600,BTC,binance,okx,0.025515812262926426,2000.0,1999.8492845568603,-0.15071544313968843,5.759253184105528,1.1518506368211057
1777652630900,1777652631000,ETH,bybit,binance,0.8684285950025621,2000.0,1999.1294347640785,-0.8705652359215037,5.295659749990911,1.0591319499981822
1777652766200,1777652766300,ETH,binance,bybit,0.8691041682058592,2000.0,2000.7992638157489,0.7992638157488727,7.819995013018666,1.5639990026037331
1777655043300,1777655043400,ETH,okx,binance,0.8694215594635132,2000.0,1999.8016261492614,-0.1983738507385624,6.908727103727141,1.3817454207454283
1777660198200,1777660198300,ETH,binance,bybit,0.81121887,1874.054185,1874.2554376773037,0.20125267730372798,5.621550087275828,1.1243100174551657
1777660789100,1777660789200,BTC,binance,bybit,0.025474477752824444,2000.0,2000.545028614317,0.5450286143170615,6.253005418834778,1.2506010837669557
1777669076300,1777669076400,ETH,bybit,binance,0.8762251948700648,2000.0,1999.6000200000003,-0.3999799999996867,5.317259395667406,1.0634518791334813
1777671780200,1777671780300,ETH,okx,binance,0.8742944830872676,2000.0,1999.241595108008,-0.758404891992086,12.857138111554978,2.5714276223109955
