signal_ts_ms,exec_ts_ms,asset,buy_ex,sell_ex,size,buy_cost,sell_proceeds,pnl,signal_edge_bps,signal_expected_pnl
1777593692900,1777593693400,ETH,binance,okx,0.8848774444739405,2000.0,2000.0884877444478,0.08848774444777519,5.001261380082056,1.0002522760164112
1777594542900,1777594543400,ETH,binance,bybit,0.8830255989121124,2000.0,2000.150114351815,0.15011435181509114,6.7583087442790735,1.3516617488558147
1777601306300,1777601306800,ETH,binance,bybit,0.8815621280909773,2000.0000000000002,2000.220390532023,0.22039053202274772,5.557810046403766,1.1115620092807532
1777601306400,1777601306900,ETH,binance,bybit,0.8815621280909773,2000.0000000000002,2000.0352624851237,0.035262485123439546,7.278084584576572,1.4556169169153144
1777604890500,1777604891000,ETH,binance,okx,0.20049999999999998,454.93571899999995,455.00668,0.070961000000068,5.0700772856138165,1.0140154571227633
1777605437500,1777605438000,ETH,binance,bybit,0.8788697734713159,2000.0,2000.2372948388374,0.2372948388374425,5.847233335385393,1.1694466670770787
1777605587600,1777605588100,BTC,binance,okx,0.025926889541987234,2000.0,1999.9639616235365,-0.03603837646346619,5.759997176446596,1.1519994352893193
1777605587700,1777605588200,BTC,binance,okx,0.02592874831819656,2000.0,2000.1073450180374,0.10734501803744934,9.7954986900195,1.9590997380039
1777605587700,1777605588200,ETH,binance,okx,0.8761439153995435,2000.0,2000.0438071957701,0.04380719577011405,7.80414233352511,1.560828466705022
1777605587800,1777605588300,BTC,binance,okx,0.025930240910089223,2000.0,2000.3754698883781,0.37546988837812023,7.263294422827915,1.452658884565583
1777605587800,1777605588300,ETH,binance,bybit,0.8761439153995435,2000.0,2000.245320296312,0.24532029631200203,8.854406382186042,1.7708812764372084
1777605599900,1777605600400,ETH,binance,bybit,0.8737898011254412,2000.0,2000.7252455349342,0.7252455349341744,8.881810664296275,1.776362132859255
1777605600000,1777605600500,ETH,binance,bybit,0.8735455466648031,2000.2039654069324,2000.3581536741324,0.15418826719997014,6.6442859141147,1.32885718282294
1777605600100,1777605600600,ETH,binance,bybit,0.8736218615134624,2000.0,2000.5329093355228,0.5329093355228451,7.299972024059631,1.4599944048119262
1777605607600,1777605608100,ETH,binance,bybit,0.8722197993894462,2000.0,1999.8866114260793,-0.11338857392070167,6.151537229888149,1.2303074459776298
1777605763500,1777605764000,ETH,binance,okx,0.871892792062288,2000.0,2000.1133460629678,0.11334606296782113,6.151376206824377,1.2302752413648754
1777605941600,1777605942100,BTC,okx,binance,0.025899388644931038,2000.0049398777292,2000.3416129362267,0.3366730584975812,5.836676655623929,1.1673353311247858
1777608892300,1777608892800,BTC,bybit,binance,0.025939193342965423,2000.0,2000.4017981048828,0.40179810488280054,8.214804026214217,1.6429608052428435
1777609692000,1777609692500,BTC,binance,bybit,0.02593757525949571,2000.0,1999.9608342613578,-0.039165738642168435,13.257853495456384,2.651570699091277
1777609750000,1777609750500,BTC,binance,bybit,0.025979420921305608,2000.0,1999.9737607848697,-0.02623921513031746,6.7839695579108295,1.356793911582166
1777609750100,1777609750600,BTC,binance,bybit,0.02598046035557118,2000.0,2000.0537795529362,0.053779552936248365,6.7839695579108295,1.356793911582166
1777609759400,1777609759900,BTC,okx,bybit,0.025987492219994513,1999.9999999999998,2000.0753637274377,0.07536372743788888,5.431018913719665,1.086203782743933
1777634484700,1777634485200,ETH,binance,bybit,0.8728974083675947,2000.0,2000.1745794816738,0.1745794816738453,5.33037395631597,1.066074791263194
1777637278200,1777637278700,ETH,okx,binance,0.875013125196878,2000.0,2000.280004200063,0.2800042000631038,5.905382646922419,1.1810765293844838
1777637545700,1777637546200,ETH,binance,bybit,0.874687845775039,2000.0,2000.096215663035,0.09621566303508189,6.475550421785048,1.2951100843570096
1777637727700,1777637728200,ETH,binance,bybit,0.8732518589348948,2000.0,2000.2794405948594,0.27944059485935213,5.154098818924702,1.0308197637849403
1777637786300,1777637786800,ETH,binance,bybit,0.8721247138340783,2000.0,2000.3226861441185,0.3226861441185065,7.024432809774606,1.4048865619549211
1777637801600,1777637802100,ETH,binance,bybit,0.8721133049605804,2000.0,2000.148259261843,0.14825926184289528,8.816494701373578,1.7632989402747157
1777637867100,1777637867600,ETH,binance,okx,0.8704583833846904,2000.0,1999.8433174909908,-0.1566825090092152,7.146841444709562,1.4293682889419124
1777637867300,1777637867800,ETH,binance,okx,0.8706061595385788,2000.0,1999.7823484601154,-0.2176515398846277,5.094043887146071,1.0188087774292143
1777637885400,1777637885900,BTC,binance,bybit,0.02574997112784487,2000.0,1999.9693575343576,-0.03064246564235873,5.69178653816671,1.138357307633342
1777637974300,1777637974800,ETH,binance,okx,0.8706478490644889,2000.0,2000.3047267471725,0.3047267471724808,9.062667474173391,1.8125334948346783
