signal_ts_ms,exec_ts_ms,asset,buy_ex,sell_ex,size,buy_cost,sell_proceeds,pnl
1777601306400,1777601306400,ETH,binance,bybit,0.8821920708576672,2000.2,2001.2554713552236,1.055471355223517
1777605587700,1777605587700,BTC,binance,okx,0.02595177822233174,2000.2,2001.7589038280303,1.5589038280302248
1777605587700,1777605587700,ETH,binance,okx,0.8768699251153084,2000.200765775821,2001.3536467932277,1.1528810174065711
1777605587800,1777605587800,BTC,binance,okx,0.02594033722438392,2000.2000000000003,2001.252513618677,1.0525136186768123
1777605587800,1777605587800,ETH,binance,bybit,0.8766738992263353,2000.2,2001.5707041883095,1.3707041883094462
1777608892300,1777608892300,BTC,bybit,binance,0.025938756003200843,2000.3447503752177,2001.4427965091622,1.0980461339445355
1777609692000,1777609692000,BTC,binance,bybit,0.025977963153636402,2000.4645604834056,2002.4513055420216,1.986745058615952
1777637786300,1777637786300,ETH,binance,bybit,0.8726003490401396,2000.2,2001.2047460732986,1.00474607329852
1777637801600,1777637801600,ETH,binance,bybit,0.87292026746277,2000.2,2001.5544036796864,1.3544036796863566
1777637867100,1777637867100,ETH,binance,okx,0.8715660298424209,2000.2,2001.229225352113,1.0292253521129169
1777637974300,1777637974300,ETH,binance,okx,0.8714103340551516,2000.2248127910525,2001.6123522414853,1.3875394504327687
1777638176800,1777638176800,ETH,binance,okx,0.8700380641653073,2000.2,2001.6616952691681,1.4616952691681036
1777638306400,1777638306400,ETH,binance,okx,0.8685418485176162,2000.2,2001.7800773870783,1.5800773870782905
1777638506100,1777638506100,ETH,binance,bybit,0.8683419878084786,2000.2,2002.0748285024576,1.8748285024576035
1777638622100,1777638622100,ETH,binance,bybit,0.8673365395874081,2000.21932739413,2001.3957396429178,1.1764122487877557
1777638979100,1777638979100,ETH,binance,okx,0.8674456328449615,2000.2,2001.317878054493,1.1178780544928486
1777641193400,1777641193400,BTC,binance,bybit,0.025531198933612883,2000.2,2001.2339440353564,1.0339440353563987
1777643599100,1777643599100,BTC,binance,bybit,0.02545621677088654,2000.2,2001.2861889254586,1.0861889254586004
1777643607200,1777643607200,ETH,binance,okx,0.8634273749649233,2000.205864502639,2001.2158792928528,1.010014790213745
1777650630300,1777650630300,ETH,okx,binance,0.8659433153505772,2000.2,2001.9733003697581,1.7733003697580898
1777650753500,1777650753500,BTC,binance,okx,0.025532835162186487,2000.2,2001.3519858354048,1.15198583540473
1777652766200,1777652766200,ETH,binance,bybit,0.8691910873145907,2000.2,2001.6382177344717,1.4382177344716638
1777655043300,1777655043300,ETH,okx,binance,0.8693082045308345,2000.2,2001.5819036111066,1.3819036111065088
1777660198200,1777660198200,ETH,binance,bybit,0.8662471143143005,2000.2,2001.3244424617012,1.1244424617011646
1777660789100,1777660789100,BTC,binance,bybit,0.02547702545536998,2000.2,2001.4507461583828,1.2507461583827535
1777669076300,1777669076300,ETH,bybit,binance,0.876481802046585,2000.1999999999998,2001.2295653665021,1.029565366502311
1777671780200,1777671780200,ETH,okx,binance,0.874118233232227,2000.2,2002.7717047927906,2.5717047927905696
