signal_ts_ms,exec_ts_ms,asset,buy_ex,sell_ex,size,buy_cost,sell_proceeds,pnl
1777605587300,1777605587800,ETH,binance,bybit,0.8766738992263353,2000.2,2001.5707041883095,1.3707041883094462
1777638305900,1777638306400,ETH,binance,bybit,0.8685418485176162,2000.2,2001.5716481884388,1.3716481884387122
1777643598600,1777643599100,BTC,binance,bybit,0.02545621677088654,2000.2,2001.2861889254586,1.0861889254586004
1777652765700,1777652766200,ETH,binance,bybit,0.8691910873145907,2000.2,2001.6382177344717,1.4382177344716638
1777655042800,1777655043300,ETH,okx,binance,0.8693082045308345,2000.2,2001.5819036111066,1.3819036111065088
1777660197700,1777660198200,ETH,binance,bybit,0.8662471143143005,2000.2,2001.3244424617012,1.1244424617011646
1777669075800,1777669076300,ETH,bybit,binance,0.876481802046585,2000.1999999999998,2001.2295653665021,1.029565366502311
1777671779600,1777671780200,ETH,okx,binance,0.874118233232227,2000.2,2002.7717047927906,2.5717047927905696
1777671779700,1777671780200,ETH,okx,binance,0.874118233232227,2000.2,2002.7717047927906,2.5717047927905696
