open_time,open,high,low,close,volume,vol_ccy,vol_quote,confirm,symbol,exchange
2026-05-27 07:35:00+00:00,2080.84,2082.8,2079.45,2079.91,404.009006,840970.95623041,840970.95623041,1,ETHUSDT,okx
2026-05-27 07:40:00+00:00,2079.91,2080.22,2079.15,2080.02,273.799594,569483.47349798,569483.47349798,1,ETHUSDT,okx
2026-05-27 07:45:00+00:00,2080.02,2082.31,2080.01,2081.54,283.244152,589487.69421094,589487.69421094,1,ETHUSDT,okx
2026-05-27 07:50:00+00:00,2081.54,2083.44,2080.5,2083.1,407.508135,848549.18503759,848549.18503759,1,ETHUSDT,okx
2026-05-27 07:55:00+00:00,2083.1,2084.4,2083.08,2083.83,197.902446,412378.15436392,412378.15436392,1,ETHUSDT,okx
2026-05-27 08:00:00+00:00,2083.8,2086.85,2083.34,2086.3,411.880367,858972.38451799,858972.38451799,1,ETHUSDT,okx
2026-05-27 08:05:00+00:00,2086.29,2087.69,2085.18,2085.69,511.414701,1067171.11109491,1067171.11109491,1,ETHUSDT,okx
2026-05-27 08:10:00+00:00,2085.68,2086.49,2084.37,2086.05,212.859222,443969.72207229,443969.72207229,1,ETHUSDT,okx
2026-05-27 08:15:00+00:00,2086.06,2086.51,2084.0,2085.99,131.771422,274770.00434355,274770.00434355,1,ETHUSDT,okx
2026-05-27 08:20:00+00:00,2085.99,2090.65,2085.4,2088.67,647.034351,1350810.19256096,1350810.19256096,1,ETHUSDT,okx
2026-05-27 08:25:00+00:00,2088.68,2096.59,2088.34,2093.76,1309.288059,2741850.34397192,2741850.34397192,1,ETHUSDT,okx
2026-05-27 08:30:00+00:00,2093.76,2094.72,2091.79,2092.23,418.473165,875928.56567903,875928.56567903,1,ETHUSDT,okx
2026-05-27 08:35:00+00:00,2092.27,2094.4,2091.9,2094.24,185.280724,387776.6530393,387776.6530393,1,ETHUSDT,okx
2026-05-27 08:40:00+00:00,2094.24,2094.24,2091.5,2092.86,707.560848,1480880.60433566,1480880.60433566,1,ETHUSDT,okx
2026-05-27 08:45:00+00:00,2092.86,2093.04,2090.0,2090.31,603.649597,1262011.35162011,1262011.35162011,1,ETHUSDT,okx
2026-05-27 08:50:00+00:00,2090.32,2090.74,2084.4,2084.87,598.19942,1248284.21694434,1248284.21694434,1,ETHUSDT,okx
2026-05-27 08:55:00+00:00,2084.87,2085.88,2084.12,2084.87,238.747176,497809.18163702,497809.18163702,1,ETHUSDT,okx
2026-05-27 09:00:00+00:00,2084.87,2085.64,2079.16,2080.31,559.739713,1164550.70671894,1164550.70671894,1,ETHUSDT,okx
2026-05-27 09:05:00+00:00,2080.31,2081.67,2078.91,2081.3,291.491247,606302.69530989,606302.69530989,1,ETHUSDT,okx
2026-05-27 09:10:00+00:00,2081.28,2082.31,2079.54,2080.6,148.091415,308209.26336881,308209.26336881,1,ETHUSDT,okx
2026-05-27 09:15:00+00:00,2080.6,2080.87,2078.42,2080.7,161.402811,335714.88013024,335714.88013024,1,ETHUSDT,okx
2026-05-27 09:20:00+00:00,2080.7,2084.0,2080.7,2083.17,234.986574,489571.14575942,489571.14575942,1,ETHUSDT,okx
2026-05-27 09:25:00+00:00,2083.17,2083.39,2079.62,2081.35,280.146145,583220.55301011,583220.55301011,1,ETHUSDT,okx
2026-05-27 09:30:00+00:00,2081.36,2083.73,2080.66,2083.04,124.513377,259240.49244686,259240.49244686,1,ETHUSDT,okx
2026-05-27 09:35:00+00:00,2083.04,2087.88,2083.04,2087.06,234.443777,489055.08744931,489055.08744931,1,ETHUSDT,okx
2026-05-27 09:40:00+00:00,2087.06,2087.06,2085.57,2086.2,66.519814,138765.56984088,138765.56984088,1,ETHUSDT,okx
2026-05-27 09:45:00+00:00,2086.21,2086.72,2084.56,2085.48,51.727124,107884.45271134,107884.45271134,1,ETHUSDT,okx
2026-05-27 09:50:00+00:00,2085.49,2086.93,2082.05,2083.96,812.714732,1694078.77075848,1694078.77075848,1,ETHUSDT,okx
2026-05-27 09:55:00+00:00,2083.96,2084.22,2083.22,2083.65,691.187374,1440332.16051504,1440332.16051504,1,ETHUSDT,okx
2026-05-27 10:00:00+00:00,2083.65,2084.33,2081.33,2083.7,1229.345034,2560471.34239062,2560471.34239062,1,ETHUSDT,okx
2026-05-27 10:05:00+00:00,2083.7,2084.52,2083.38,2084.0,753.264973,1569736.21945143,1569736.21945143,1,ETHUSDT,okx
2026-05-27 10:10:00+00:00,2084.0,2086.88,2083.81,2086.79,406.096723,846445.95091878,846445.95091878,1,ETHUSDT,okx
2026-05-27 10:15:00+00:00,2086.78,2088.1,2085.36,2085.99,229.622184,479217.13613316,479217.13613316,1,ETHUSDT,okx
2026-05-27 10:20:00+00:00,2085.99,2086.85,2084.94,2086.85,146.395974,305367.76802196,305367.76802196,1,ETHUSDT,okx
2026-05-27 10:25:00+00:00,2086.84,2087.89,2085.7,2085.75,124.981056,260782.54562096,260782.54562096,1,ETHUSDT,okx
2026-05-27 10:30:00+00:00,2085.75,2086.79,2082.61,2082.61,99.706632,207846.05846923,207846.05846923,1,ETHUSDT,okx
2026-05-27 10:35:00+00:00,2082.54,2084.81,2082.14,2082.2,103.429062,215444.64687321,215444.64687321,1,ETHUSDT,okx
2026-05-27 10:40:00+00:00,2082.2,2082.28,2081.26,2081.64,85.293757,177561.83477783,177561.83477783,1,ETHUSDT,okx
2026-05-27 10:45:00+00:00,2081.64,2082.46,2079.51,2080.12,150.440313,313048.07434407,313048.07434407,1,ETHUSDT,okx
2026-05-27 10:50:00+00:00,2080.12,2080.74,2079.55,2080.34,60.075455,124977.42613651,124977.42613651,1,ETHUSDT,okx
2026-05-27 10:55:00+00:00,2080.34,2080.9,2079.57,2079.57,148.936504,309841.07597768,309841.07597768,1,ETHUSDT,okx
2026-05-27 11:00:00+00:00,2079.58,2084.78,2078.67,2083.02,651.113369,1354919.80644486,1354919.80644486,1,ETHUSDT,okx
2026-05-27 11:05:00+00:00,2083.01,2083.01,2081.0,2081.0,85.009584,177026.87871215,177026.87871215,1,ETHUSDT,okx
2026-05-27 11:10:00+00:00,2081.01,2082.77,2080.63,2082.1,56.746396,118126.4327706,118126.4327706,1,ETHUSDT,okx
