open_time,open,high,low,close,volume,vol_ccy,vol_quote,confirm,symbol,exchange
2026-05-27 07:35:00+00:00,1.3342,1.3344,1.3329,1.333,23194.170539,30934.1483584872,30934.1483584872,1,XRPUSDT,okx
2026-05-27 07:40:00+00:00,1.3328,1.3328,1.3315,1.3315,45930.168679,61182.714410556,61182.714410556,1,XRPUSDT,okx
2026-05-27 07:45:00+00:00,1.3316,1.3321,1.3309,1.331,56637.035615,75419.6480243494,75419.6480243494,1,XRPUSDT,okx
2026-05-27 07:50:00+00:00,1.3309,1.3315,1.3303,1.331,69424.196168,92402.4169994189,92402.4169994189,1,XRPUSDT,okx
2026-05-27 07:55:00+00:00,1.331,1.3324,1.331,1.3319,45331.696981,60368.9370634329,60368.9370634329,1,XRPUSDT,okx
2026-05-27 08:00:00+00:00,1.3319,1.3328,1.3309,1.3318,68823.90693,91646.6674995976,91646.6674995976,1,XRPUSDT,okx
2026-05-27 08:05:00+00:00,1.3319,1.3321,1.3296,1.3298,474073.071933,630831.653639917,630831.653639917,1,XRPUSDT,okx
2026-05-27 08:10:00+00:00,1.3299,1.3363,1.3296,1.3351,564868.6001,752648.6550991407,752648.6550991407,1,XRPUSDT,okx
2026-05-27 08:15:00+00:00,1.3352,1.3359,1.3342,1.3359,51441.857074,68686.8757047861,68686.8757047861,1,XRPUSDT,okx
2026-05-27 08:20:00+00:00,1.3359,1.3376,1.3355,1.3359,57528.394582,76898.6978531721,76898.6978531721,1,XRPUSDT,okx
2026-05-27 08:25:00+00:00,1.336,1.3378,1.336,1.3371,21874.349543,29245.2145470259,29245.2145470259,1,XRPUSDT,okx
2026-05-27 08:30:00+00:00,1.337,1.337,1.3358,1.3366,9721.157345,12990.4973876918,12990.4973876918,1,XRPUSDT,okx
2026-05-27 08:35:00+00:00,1.3365,1.3369,1.3361,1.3368,16524.311236,22085.2498144591,22085.2498144591,1,XRPUSDT,okx
2026-05-27 08:40:00+00:00,1.3368,1.337,1.3361,1.3365,16647.616567,22250.3371730317,22250.3371730317,1,XRPUSDT,okx
2026-05-27 08:45:00+00:00,1.3366,1.3367,1.3355,1.3357,28866.547695,38559.8986248418,38559.8986248418,1,XRPUSDT,okx
2026-05-27 08:50:00+00:00,1.3357,1.336,1.3338,1.3348,28836.533823,38494.1706697796,38494.1706697796,1,XRPUSDT,okx
2026-05-27 08:55:00+00:00,1.3348,1.3355,1.3343,1.3354,113882.112625,152029.6586289175,152029.6586289175,1,XRPUSDT,okx
2026-05-27 09:00:00+00:00,1.3356,1.3356,1.3323,1.3341,346837.313739,462497.5152401164,462497.5152401164,1,XRPUSDT,okx
2026-05-27 09:05:00+00:00,1.3341,1.3353,1.3336,1.3343,109546.036906,146168.5046546102,146168.5046546102,1,XRPUSDT,okx
2026-05-27 09:10:00+00:00,1.3344,1.3349,1.3337,1.3348,258729.967429,345247.3539956799,345247.3539956799,1,XRPUSDT,okx
2026-05-27 09:15:00+00:00,1.3347,1.3353,1.3328,1.3353,232652.822044,310352.6638782736,310352.6638782736,1,XRPUSDT,okx
2026-05-27 09:20:00+00:00,1.3354,1.3366,1.3348,1.3364,92195.734258,123146.878832858,123146.878832858,1,XRPUSDT,okx
2026-05-27 09:25:00+00:00,1.3363,1.3376,1.3282,1.3308,1266144.241919,1688730.137866454,1688730.137866454,1,XRPUSDT,okx
2026-05-27 09:30:00+00:00,1.3307,1.3314,1.3303,1.3308,24045.455341,32002.1660065775,32002.1660065775,1,XRPUSDT,okx
2026-05-27 09:35:00+00:00,1.3309,1.3326,1.3307,1.3324,30954.092969,41220.1070089073,41220.1070089073,1,XRPUSDT,okx
2026-05-27 09:40:00+00:00,1.3322,1.3322,1.3313,1.3314,20463.102583,27250.4749191779,27250.4749191779,1,XRPUSDT,okx
2026-05-27 09:45:00+00:00,1.3314,1.3317,1.3306,1.331,74078.168962,98601.110851594,98601.110851594,1,XRPUSDT,okx
2026-05-27 09:50:00+00:00,1.331,1.3317,1.3296,1.3296,71936.882405,95710.899630864,95710.899630864,1,XRPUSDT,okx
2026-05-27 09:55:00+00:00,1.3297,1.3304,1.3293,1.3293,78415.426479,104273.230382896,104273.230382896,1,XRPUSDT,okx
