open_time,open,high,low,close,volume,vol_ccy,vol_quote,confirm,symbol,exchange
2026-05-27 07:35:00+00:00,9.188,9.191,9.182,9.182,75.685911,695.549879933,695.549879933,1,AVAXUSDT,okx
2026-05-27 07:40:00+00:00,9.176,9.178,9.175,9.176,26.552217,243.684210525,243.684210525,1,AVAXUSDT,okx
2026-05-27 07:45:00+00:00,9.176,9.183,9.176,9.179,183.717923,1685.968292176,1685.968292176,1,AVAXUSDT,okx
2026-05-27 07:50:00+00:00,9.178,9.182,9.177,9.181,3.911552,35.907779293,35.907779293,1,AVAXUSDT,okx
2026-05-27 07:55:00+00:00,9.177,9.197,9.177,9.197,1295.270879,11899.497874991,11899.497874991,1,AVAXUSDT,okx
2026-05-27 08:00:00+00:00,9.197,9.2,9.189,9.2,100.305779,922.474537853,922.474537853,1,AVAXUSDT,okx
2026-05-27 08:05:00+00:00,9.201,9.21,9.195,9.195,43.57729,401.040827082,401.040827082,1,AVAXUSDT,okx
2026-05-27 08:10:00+00:00,9.2,9.2,9.192,9.193,146.740085,1349.470646046,1349.470646046,1,AVAXUSDT,okx
2026-05-27 08:15:00+00:00,9.2,9.204,9.194,9.197,410.799349,3778.809614242,3778.809614242,1,AVAXUSDT,okx
2026-05-27 08:20:00+00:00,9.201,9.218,9.201,9.204,247.959566,2282.51030956,2282.51030956,1,AVAXUSDT,okx
2026-05-27 08:25:00+00:00,9.21,9.228,9.21,9.22,127.952957,1180.128099097,1180.128099097,1,AVAXUSDT,okx
2026-05-27 08:30:00+00:00,9.221,9.221,9.211,9.217,1659.366012,15292.520382804,15292.520382804,1,AVAXUSDT,okx
2026-05-27 08:35:00+00:00,9.217,9.222,9.216,9.222,1695.105637,15628.492684615,15628.492684615,1,AVAXUSDT,okx
2026-05-27 08:40:00+00:00,9.22,9.22,9.21,9.21,161.912815,1492.400464862,1492.400464862,1,AVAXUSDT,okx
2026-05-27 08:45:00+00:00,9.21,9.21,9.186,9.187,1640.119097,15075.525006408,15075.525006408,1,AVAXUSDT,okx
2026-05-27 08:50:00+00:00,9.186,9.186,9.16,9.164,593.605259,5442.294113392,5442.294113392,1,AVAXUSDT,okx
2026-05-27 08:55:00+00:00,9.165,9.168,9.165,9.168,151.340568,1387.314380252,1387.314380252,1,AVAXUSDT,okx
2026-05-27 09:00:00+00:00,9.168,9.17,9.138,9.14,737.694961,6747.046080253,6747.046080253,1,AVAXUSDT,okx
